algorithm_time_s,curvature_energy_1pm,deviation_max_m,deviation_rmse_m,error,footprint_clearance_mean_m,footprint_clearance_min_m,footprint_clearance_p05_m,footprint_collision_sample_count,footprint_pose_sample_count,max_abs_curvature_1pm,method,metric_spacing_m,native_point_count,output_path_sha256,path_length_m,pivot_marker_count,pivot_max_angle_rad,pivot_total_angle_rad,planner,planner_output_path_sha256,point_count,pstmo_compatible_edges,pstmo_competitive_candidates,pstmo_conditioned_polyline,pstmo_conditioning_input_points,pstmo_conditioning_max_deviation,pstmo_conditioning_observed_deviation,pstmo_conditioning_oscillation_deviation,pstmo_conditioning_oscillation_shortcuts,pstmo_conditioning_output_points,pstmo_conditioning_safety_rejections,pstmo_conditioning_shortcuts,pstmo_corner_search,pstmo_corners,pstmo_dp_states,pstmo_evaluations,pstmo_fallback,pstmo_g2_transitions,pstmo_los_accepted_shortcuts,pstmo_los_attempted_shortcuts,pstmo_los_enabled,pstmo_los_fallback_reason,pstmo_los_fallback_to_input,pstmo_los_footprint_padding_m,pstmo_los_output_points,pstmo_los_safety_rejections,pstmo_max_footprint_cost,pstmo_mean_transition_score,pstmo_output_points,pstmo_pass_through_corners,pstmo_pivots,pstmo_raw_input_points,pstmo_rejections,pstmo_runtime_s,pstmo_search_mode,pstmo_segment_margin,pstmo_selected_stitch_rejection,pstmo_valid_candidates,raw_path_sha256,removed_duplicate_pose_count,repetition,scenario,success,translation_curvature_energy_1pm,translation_max_abs_curvature_1pm,translation_path_length_m,translation_segment_count,wall_time_s
0.0,45.44221061527057,4.440892098500626e-16,8.292516836764085e-17,,0.4291142598122478,0.16464466339406925,0.18825146149581692,0,191,10.710951044805608,raw,0.05,182,4d96504468a8722e25b5fafb64052d0a20aa44ba80d8b1cec6cf6d246ce64662,4.617014289107271,0,0.0,0,NavFnAStar,6bedc2ae54aff188ced79543ca83b8f2d048fb3b8e5cf12da84c7f9653b3236f,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4d96504468a8722e25b5fafb64052d0a20aa44ba80d8b1cec6cf6d246ce64662,0,1,lower_left_diagonal,True,45.44221061527057,10.710951044805608,4.617014289107271,1,0.004852297999605071
0.003,4.483166086552803,0.015089415621732261,0.003959982258244368,,0.41809821199727504,0.23390290478282266,0.25619225950049973,0,185,3.76817016947778,simple,0.05,182,c4fbbcf76e122e8244b465f0b5a18ae9a25a7c3b0792c53c03624e0d6c46044b,4.582846015488058,0,0.0,0,NavFnAStar,6bedc2ae54aff188ced79543ca83b8f2d048fb3b8e5cf12da84c7f9653b3236f,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4d96504468a8722e25b5fafb64052d0a20aa44ba80d8b1cec6cf6d246ce64662,0,1,lower_left_diagonal,True,4.483166086552803,3.76817016947778,4.582846015488058,1,0.007153415999709978
0.0,16.539711802607638,0.007027837712120452,0.0018839354985056946,,0.4051601773085894,0.2146446641391273,0.23390290478282266,0,210,7.9978315770211825,savitzky_golay,0.05,182,a3561c0c8c2b3ed1cadf7a4d6259115b06401aef0973cb3eeaffc1bc4691150b,4.602346036860217,0,0.0,0,NavFnAStar,6bedc2ae54aff188ced79543ca83b8f2d048fb3b8e5cf12da84c7f9653b3236f,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4d96504468a8722e25b5fafb64052d0a20aa44ba80d8b1cec6cf6d246ce64662,0,1,lower_left_diagonal,True,16.539711802607638,7.9978315770211825,4.602346036860217,1,0.0045254590004333295
0.012,24.630605720851754,0.006541417360888807,0.001808910791693114,,0.3988580948468859,0.2146446641391273,0.23390290478282266,0,225,8.171254334168392,constrained,0.05,182,efc6a2c1ea653bc1eb2d4cf4eec272a0166a64b7451685ab1e515f43eb44396a,4.609639973893631,0,0.0,0,NavFnAStar,6bedc2ae54aff188ced79543ca83b8f2d048fb3b8e5cf12da84c7f9653b3236f,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4d96504468a8722e25b5fafb64052d0a20aa44ba80d8b1cec6cf6d246ce64662,0,1,lower_left_diagonal,True,24.630605720851754,8.171254334168392,4.609639973893631,1,0.017388120000759955
0.009000000000000001,1.5142374068019633,0.17288652305042038,0.08357790188063911,,0.3460755541533218,0.1449222268733815,0.1449222268733815,0,125,1.6841450768426884,pstmo,0.05,118,fdcf03c12cb2f081dd3c260c28315f759f4003d8a91925323d5b3c10f8cd25a6,4.433935757355078,0,0.0,0,NavFnAStar,6bedc2ae54aff188ced79543ca83b8f2d048fb3b8e5cf12da84c7f9653b3236f,90,0,8,"[[-5, -3], [-2.76716, -2.59678], [-2, -0.5]]",3,0.075,0,0.15,0,3,0,0,"[{'index': 0, 'x': -2.76716, 'y': -2.59678, 'turn_angle': 1.04139, 'incoming_length': 2.26895, 'outgoing_length': 2.23272, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0573485, 'trim_max': 0.860227, 'evaluations': 20, 'safe_feasible': 11, 'states': 6, 'selected_radius': 0.7475, 'selected_trim': 0.42868, 'selected_score': 0.664404}]",1,6,20,none,1,2,89,True,,False,0.15,3,87,252,0.664404,118,0,0,182,"{'swept_footprint': 6, 'transition requires a reversing inner wheel': 3}",0.0064447,adaptive,0.05,,11,4d96504468a8722e25b5fafb64052d0a20aa44ba80d8b1cec6cf6d246ce64662,0,1,lower_left_diagonal,True,1.5142374068019633,1.6841450768426884,4.433935757355078,1,0.011172100999829127
0.003,40.33958545042524,1.1102230246251565e-16,1.145107615684086e-17,,0.4460433015490947,0.16464466339406925,0.20144806281747213,0,191,11.188063060003893,raw,0.05,184,47b605bd3c3765b687d374607c75f17709d99ce1f3037f23f75285bb22d5107f,4.605420970545901,0,0.0,0,NavFnDijkstra,4e4d3b20213fd9eb197dcfb89165a4251605367101bfe05717c478e12ea3dc51,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47b605bd3c3765b687d374607c75f17709d99ce1f3037f23f75285bb22d5107f,0,1,lower_left_diagonal,True,40.33958545042524,11.188063060003893,4.605420970545901,1,0.004206346000501071
0.0,4.255078390350622,0.016216391429740056,0.0037419169753919557,,0.438677314729006,0.25619225950049973,0.25619225950049973,0,189,4.256145439270524,simple,0.05,184,589277865bda89d06f9d7567e3961de7b9f39a28fd11fce02a6a8d88989e35df,4.573405671800137,0,0.0,0,NavFnDijkstra,4e4d3b20213fd9eb197dcfb89165a4251605367101bfe05717c478e12ea3dc51,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47b605bd3c3765b687d374607c75f17709d99ce1f3037f23f75285bb22d5107f,0,1,lower_left_diagonal,True,4.255078390350622,4.256145439270524,4.573405671800137,1,0.007340832999943814
0.0,16.210702484966212,0.006028357809397587,0.001471908599483256,,0.42292472799774605,0.2146446641391273,0.23390290478282266,0,210,8.38317544901524,savitzky_golay,0.05,184,a317f17a037878e2e7d6d9cbefac18e61e400d0a44a364d95127b3d77240128a,4.592346497877076,0,0.0,0,NavFnDijkstra,4e4d3b20213fd9eb197dcfb89165a4251605367101bfe05717c478e12ea3dc51,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47b605bd3c3765b687d374607c75f17709d99ce1f3037f23f75285bb22d5107f,0,1,lower_left_diagonal,True,16.210702484966212,8.38317544901524,4.592346497877076,1,0.0052647219999926165
0.015000000000000001,27.785120610253678,0.0036637871232453817,0.0009723693370304275,,0.41579563774736034,0.2146446641391273,0.23390290478282266,0,227,8.75386743910857,constrained,0.05,184,1225ab2e153d3dd2bfd0276ceab1a9a9e8dab091af973e30f7680a4ba2901629,4.602517356582731,0,0.0,0,NavFnDijkstra,4e4d3b20213fd9eb197dcfb89165a4251605367101bfe05717c478e12ea3dc51,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47b605bd3c3765b687d374607c75f17709d99ce1f3037f23f75285bb22d5107f,0,1,lower_left_diagonal,True,27.785120610253678,8.75386743910857,4.602517356582731,1,0.017681601999356644
0.003,1.3737232906416514,0.18174649709434681,0.08521502838403962,,0.3463387403543932,0.1449222268733815,0.1449222268733815,0,129,1.5105664761263167,pstmo,0.05,122,180e4ab803f0d5d147b579a44807ebc22f3a826472f716c5f76c996502362705,4.4378460619008715,0,0.0,0,NavFnDijkstra,4e4d3b20213fd9eb197dcfb89165a4251605367101bfe05717c478e12ea3dc51,90,0,9,"[[-5, -3], [-2.73693, -2.59002], [-2, -0.5]]",3,0.075,0,0.15,0,3,0,0,"[{'index': 0, 'x': -2.73693, 'y': -2.59002, 'turn_angle': 1.05259, 'incoming_length': 2.29991, 'outgoing_length': 2.21614, 'pivot_safe': True, 'pass_through': False, 'radius_min': 0.1, 'radius_max': 1.5, 'trim_min': 0.0580954, 'trim_max': 0.871431, 'evaluations': 20, 'safe_feasible': 11, 'states': 6, 'selected_radius': 0.835, 'selected_trim': 0.485097, 'selected_score': 0.640634}]",1,6,20,none,1,2,90,True,,False,0.15,3,88,252,0.640634,122,0,0,184,"{'swept_footprint': 6, 'transition requires a reversing inner wheel': 3}",0.00548924,adaptive,0.05,,11,47b605bd3c3765b687d374607c75f17709d99ce1f3037f23f75285bb22d5107f,0,1,lower_left_diagonal,True,1.3737232906416514,1.5105664761263167,4.4378460619008715,1,0.010195329000453057
