algorithm_time_s,curvature_energy_1pm,deviation_max_m,deviation_rmse_m,error,footprint_clearance_mean_m,footprint_clearance_min_m,footprint_clearance_p05_m,footprint_collision_sample_count,footprint_pose_sample_count,max_abs_curvature_1pm,method,metric_spacing_m,native_point_count,output_path_sha256,path_length_m,pivot_marker_count,pivot_max_angle_rad,pivot_total_angle_rad,planner,planner_output_path_sha256,point_count,pstmo_coarse_shape_evaluations,pstmo_compatible_edges,pstmo_competitive_candidates,pstmo_conditioned_polyline,pstmo_conditioning_input_points,pstmo_conditioning_max_deviation,pstmo_conditioning_observed_deviation,pstmo_conditioning_oscillation_deviation,pstmo_conditioning_oscillation_shortcuts,pstmo_conditioning_output_points,pstmo_conditioning_safety_rejections,pstmo_conditioning_shortcuts,pstmo_corner_search,pstmo_corners,pstmo_dp_states,pstmo_evaluations,pstmo_final_invariants_verified,pstmo_g2_transitions,pstmo_los_accepted_shortcuts,pstmo_los_attempted_shortcuts,pstmo_los_input_points,pstmo_los_output_points,pstmo_los_rejection_reason,pstmo_los_runtime_s,pstmo_los_safety_rejections,pstmo_max_footprint_cost,pstmo_mean_transition_score,pstmo_output_points,pstmo_pass_through_corners,pstmo_pipeline_execution_count,pstmo_pivots,pstmo_preprocessed_polyline,pstmo_preprocessing_mode,pstmo_raw_input_points,pstmo_recovery_shape_evaluations,pstmo_refinement_shape_evaluations,pstmo_rejections,pstmo_runtime_s,pstmo_search_mode,pstmo_segment_margin,pstmo_selected_stitch_rejection,pstmo_trim_domain,pstmo_valid_candidates,raw_path_sha256,removed_duplicate_pose_count,repetition,scenario,success,translation_curvature_energy_1pm,translation_max_abs_curvature_1pm,translation_path_length_m,translation_segment_count,wall_time_s
0.0,2.3101478793731713e-11,0.0,0.0,,0.41058375335326364,0.3646446663743015,0.3646446663743015,0,197,1.5199184488780186e-05,raw,0.05,162,bfbdf212512b4566887012f10bcdc154916dcaf940561f6bfbd4c209ce2f2ec4,4.099999999999993,0,0.0,0,NavFnAStar,4d505cbb448cbf1e75663d8d06b1f28191b79eb7200382de8bdf9d9edec0190b,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bfbdf212512b4566887012f10bcdc154916dcaf940561f6bfbd4c209ce2f2ec4,0,1,storage_aisle_a,True,2.3101478793731713e-11,1.5199184488780186e-05,4.099999999999993,1,0.0044331299995974405
0.0,9.177456467154242e-13,2.382769492825787e-08,4.007745650524452e-09,,0.46464466786441777,0.4646446678644176,0.4646446678644176,0,162,2.2489725637342785e-06,simple,0.05,162,ec1949022878fc1b29d66a2044279cf02f62620fd3e549cb712ef5a7b7ae97fd,4.099999999999994,0,0.0,0,NavFnAStar,4d505cbb448cbf1e75663d8d06b1f28191b79eb7200382de8bdf9d9edec0190b,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bfbdf212512b4566887012f10bcdc154916dcaf940561f6bfbd4c209ce2f2ec4,0,1,storage_aisle_a,True,9.177456467154242e-13,2.2489725637342785e-06,4.099999999999994,1,0.005378654999731225
0.0,3.973170981966854e-12,1.7147184117050074e-08,2.441561980325145e-09,,0.46464466786441777,0.4646446678644176,0.4646446678644176,0,162,5.808021619202552e-06,savitzky_golay,0.05,162,4a7fed5d6ed97b255e440fbf7662513546b662a0c355c1bd6b35859eb28f65a9,4.099999999999991,0,0.0,0,NavFnAStar,4d505cbb448cbf1e75663d8d06b1f28191b79eb7200382de8bdf9d9edec0190b,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bfbdf212512b4566887012f10bcdc154916dcaf940561f6bfbd4c209ce2f2ec4,0,1,storage_aisle_a,True,3.973170981966854e-12,5.808021619202552e-06,4.099999999999991,1,0.00418461199842568
0.003,2.3101478793731713e-11,0.0,0.0,,0.46464466786441777,0.4646446678644176,0.4646446678644176,0,164,1.5199184488780186e-05,constrained,0.05,162,bfbdf212512b4566887012f10bcdc154916dcaf940561f6bfbd4c209ce2f2ec4,4.099999999999993,0,0.0,0,NavFnAStar,4d505cbb448cbf1e75663d8d06b1f28191b79eb7200382de8bdf9d9edec0190b,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bfbdf212512b4566887012f10bcdc154916dcaf940561f6bfbd4c209ce2f2ec4,0,1,storage_aisle_a,True,2.3101478793731713e-11,1.5199184488780186e-05,4.099999999999993,1,0.005576333000135492
0.003,0.0,3.799796122194721e-08,3.753736242933845e-08,,0.4646446678644179,0.4646446678644176,0.4646446678644176,0,127,0.0,pstmo,0.05,83,d6a9bbb0e9c4484cc0ecc5749576625d4f56e6c17621b8a6cad67415013e443e,4.099999999999993,0,0.0,0,NavFnAStar,4d505cbb448cbf1e75663d8d06b1f28191b79eb7200382de8bdf9d9edec0190b,83,0,0,0,"[[-3.45, -1], [-3.45, 3.1]]",162,0.075,3.7998e-08,0.15,0,2,0,1,[],0,0,0,True,0,0,0,2,2,,0.000772515,0,252,0,83,0,1,0,"[[-3.45, -1], [-3.45, 3.1]]",condition_then_los,162,0,0,{},0.00353409,hierarchical_alpha_two_trim,0.05,,derived_preferred_compatible,0,bfbdf212512b4566887012f10bcdc154916dcaf940561f6bfbd4c209ce2f2ec4,0,1,storage_aisle_a,True,0.0,0.0,4.099999999999993,1,0.00843928599897481
0.0,7.03524850339326e-11,3.469446951953614e-18,3.808212772546752e-19,,0.41058375335326364,0.3646446663743015,0.3646446663743015,0,197,2.6524066942818526e-05,raw,0.05,162,81aaa5487659a0053bb9f02a6006f904b23ef36a2c214f0a16bc03418d265801,4.099999999999993,0,0.0,0,NavFnAStar,02506df1774dbbbd584d00398f8e012273096a38e6c03cfdba11f3a662e3c6d3,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81aaa5487659a0053bb9f02a6006f904b23ef36a2c214f0a16bc03418d265801,0,1,storage_aisle_b,True,7.03524850339326e-11,2.6524066942818526e-05,4.099999999999993,1,0.0033023010000761133
0.0,2.7948724447917744e-12,4.158166455603407e-08,6.993909267171087e-09,,0.46464466786441777,0.4646446678644176,0.4646446678644176,0,162,3.924677649536278e-06,simple,0.05,162,27c5ad01842a47ad03b03f39576e02044e0572986a0f713021d54193c7a83af3,4.099999999999993,0,0.0,0,NavFnAStar,02506df1774dbbbd584d00398f8e012273096a38e6c03cfdba11f3a662e3c6d3,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81aaa5487659a0053bb9f02a6006f904b23ef36a2c214f0a16bc03418d265801,0,1,storage_aisle_b,True,2.7948724447917744e-12,3.924677649536278e-06,4.099999999999993,1,0.004554080000161775
0.0,1.2099763806896673e-11,2.9923517885777073e-08,4.260765127749925e-09,,0.46464466786441777,0.4646446678644176,0.4646446678644176,0,162,1.0135567141134515e-05,savitzky_golay,0.05,162,0b12273cc33a0b51b9d8e56a81a250306c3ff03a2b8391cc4513b0d6752cccfe,4.09999999999999,0,0.0,0,NavFnAStar,02506df1774dbbbd584d00398f8e012273096a38e6c03cfdba11f3a662e3c6d3,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81aaa5487659a0053bb9f02a6006f904b23ef36a2c214f0a16bc03418d265801,0,1,storage_aisle_b,True,1.2099763806896673e-11,1.0135567141134515e-05,4.09999999999999,1,0.0052253270005167
0.0,7.03524850339326e-11,3.469446951953614e-18,3.808212772546752e-19,,0.46464466786441777,0.4646446678644176,0.4646446678644176,0,164,2.6524066942818526e-05,constrained,0.05,162,81aaa5487659a0053bb9f02a6006f904b23ef36a2c214f0a16bc03418d265801,4.099999999999993,0,0.0,0,NavFnAStar,02506df1774dbbbd584d00398f8e012273096a38e6c03cfdba11f3a662e3c6d3,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81aaa5487659a0053bb9f02a6006f904b23ef36a2c214f0a16bc03418d265801,0,1,storage_aisle_b,True,7.03524850339326e-11,2.6524066942818526e-05,4.099999999999993,1,0.009997854000175721
0.0,0.0,6.631016735703099e-08,6.550637731374938e-08,,0.4646446678644179,0.4646446678644176,0.4646446678644176,0,127,0.0,pstmo,0.05,83,5ffab09ee70dfc9b87b7ec937033790551211e77cbc41d39e6f1cb8837aeb854,4.099999999999993,0,0.0,0,NavFnAStar,02506df1774dbbbd584d00398f8e012273096a38e6c03cfdba11f3a662e3c6d3,83,0,0,0,"[[-1.55, -1], [-1.55, 3.1]]",162,0.075,6.63102e-08,0.15,0,2,0,1,[],0,0,0,True,0,0,0,2,2,,0.00069406,0,252,0,83,0,1,0,"[[-1.55, -1], [-1.55, 3.1]]",condition_then_los,162,0,0,{},0.00237708,hierarchical_alpha_two_trim,0.05,,derived_preferred_compatible,0,81aaa5487659a0053bb9f02a6006f904b23ef36a2c214f0a16bc03418d265801,0,1,storage_aisle_b,True,0.0,0.0,4.099999999999993,1,0.005859855000380776
