algorithm_time_s,curvature_energy_1pm,deviation_max_m,deviation_rmse_m,error,footprint_clearance_mean_m,footprint_clearance_min_m,footprint_clearance_p05_m,footprint_collision_sample_count,footprint_pose_sample_count,hybrid_pivot_energy,hybrid_pivot_markers,hybrid_pivot_max_cost,hybrid_pivot_safe,hybrid_raw_energy,hybrid_raw_max_cost,hybrid_raw_safe,hybrid_reason,hybrid_selected,hybrid_simple_energy,hybrid_simple_max_cost,hybrid_simple_safe,max_abs_curvature_1pm,method,metric_spacing_m,native_point_count,output_path_sha256,path_length_m,pivot_compatible_edges,pivot_competitive_candidates,pivot_conditioned_polyline,pivot_conditioning_input_points,pivot_conditioning_max_deviation,pivot_conditioning_observed_deviation,pivot_conditioning_oscillation_deviation,pivot_conditioning_oscillation_shortcuts,pivot_conditioning_output_points,pivot_conditioning_safety_rejections,pivot_conditioning_shortcuts,pivot_corner_search,pivot_corners,pivot_dp_states,pivot_evaluations,pivot_fallback,pivot_g2_transitions,pivot_marker_count,pivot_max_angle_rad,pivot_max_footprint_cost,pivot_mean_transition_score,pivot_output_points,pivot_pass_through_corners,pivot_pivots,pivot_rejections,pivot_runtime_s,pivot_search_mode,pivot_segment_margin,pivot_selected_stitch_rejection,pivot_total_angle_rad,pivot_valid_candidates,planner,planner_output_path_sha256,point_count,raw_path_sha256,removed_duplicate_pose_count,repetition,scenario,success,translation_curvature_energy_1pm,translation_max_abs_curvature_1pm,translation_path_length_m,translation_segment_count,wall_time_s
0.0,3.5654956008060806e-12,2.6897536084097644e-08,1.949956491147194e-09,,1.1300708555822767,0.6646446708446498,0.9646446753149982,0,398,,,,,,,,,,,,,5.123707236092588e-06,savitzky_golay,0.05,398,2e3305419a16a2619e7669b623182814afb694aafa5b51340b8ea784646428e7,9.999999985098855,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,37de1436b1bd5f948dc22686567b78a7cda9a45e34442873a2d54bd8fac479ff,201,37de1436b1bd5f948dc22686567b78a7cda9a45e34442873a2d54bd8fac479ff,0,2,central_cross_west_east,True,3.5654956008060806e-12,5.123707236092588e-06,9.999999985098855,1,0.011470217003079597
0.003,2.842173060620692e-11,0.0,0.0,,1.1282437246660393,0.6646446708446498,0.9146446745699401,0,400,,,,,,,,,,,,,2.3841868568284222e-05,constrained,0.05,398,37de1436b1bd5f948dc22686567b78a7cda9a45e34442873a2d54bd8fac479ff,9.999999985098874,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,37de1436b1bd5f948dc22686567b78a7cda9a45e34442873a2d54bd8fac479ff,201,37de1436b1bd5f948dc22686567b78a7cda9a45e34442873a2d54bd8fac479ff,0,2,central_cross_west_east,True,2.842173060620692e-11,2.3841868568284222e-05,9.999999985098874,1,0.008369510000193259
0.0,1.0729426444731802e-40,5.9306621639887464e-08,3.419829379836717e-08,,1.1229179432427832,0.6646446708446498,0.9146446745699401,0,201,,,,,,,,,,,,,1.0081263715489865e-20,pivot_g2_fixed,0.05,201,05478e9a5670183473e59d2ecd73cb6c971e74a9da875726411f510df3f04611,9.999999985098839,0,0,"[[-5, 5.96046e-08], [5, 0]]",398,0.075,5.93066e-08,0.15,0,2,0,1,[],0,0,0,none,0,0,0.0,200,0,201,0,0,{},0.000268724,fixed,0.05,,0,0,NavFnAStar,37de1436b1bd5f948dc22686567b78a7cda9a45e34442873a2d54bd8fac479ff,201,37de1436b1bd5f948dc22686567b78a7cda9a45e34442873a2d54bd8fac479ff,0,2,central_cross_west_east,True,1.0729426444731802e-40,1.0081263715489865e-20,9.999999985098839,1,0.005931939998845337
0.0,1.0729426444731802e-40,5.9306621639887464e-08,3.419829379836717e-08,,1.1229179432427832,0.6646446708446498,0.9146446745699401,0,201,,,,,,,,,,,,,1.0081263715489865e-20,pivot_g2,0.05,201,05478e9a5670183473e59d2ecd73cb6c971e74a9da875726411f510df3f04611,9.999999985098839,0,0,"[[-5, 5.96046e-08], [5, 0]]",398,0.075,5.93066e-08,0.15,0,2,0,1,[],0,0,0,none,0,0,0.0,200,0,201,0,0,{},0.000263958,adaptive,0.05,,0,0,NavFnAStar,37de1436b1bd5f948dc22686567b78a7cda9a45e34442873a2d54bd8fac479ff,201,37de1436b1bd5f948dc22686567b78a7cda9a45e34442873a2d54bd8fac479ff,0,2,central_cross_west_east,True,1.0729426444731802e-40,1.0081263715489865e-20,9.999999985098839,1,0.005658423000568291
0.003,8.635807856515627e-13,3.7376774715929616e-08,3.055772664415383e-09,,1.1298195992971258,0.6646446708446498,0.9646446753149982,0,398,1.07294e-40,0,0,True,2.84217e-11,0,True,simple_default,simple,8.63581e-13,0,True,2.556886386295658e-06,adaptive_hybrid_fixed,0.05,398,c0c660141882bd21dc91c8ef095e24747ee4bddb212c21f12bf2a926649a79c1,9.999999985098848,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,37de1436b1bd5f948dc22686567b78a7cda9a45e34442873a2d54bd8fac479ff,201,37de1436b1bd5f948dc22686567b78a7cda9a45e34442873a2d54bd8fac479ff,0,2,central_cross_west_east,True,8.635807856515627e-13,2.556886386295658e-06,9.999999985098848,1,0.010375476002081996
0.0,8.635807856515627e-13,3.7376774715929616e-08,3.055772664415383e-09,,1.1298195992971258,0.6646446708446498,0.9646446753149982,0,398,1.07294e-40,0,0,True,2.84217e-11,0,True,simple_default,simple,8.63581e-13,0,True,2.556886386295658e-06,adaptive_hybrid,0.05,398,c0c660141882bd21dc91c8ef095e24747ee4bddb212c21f12bf2a926649a79c1,9.999999985098848,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,37de1436b1bd5f948dc22686567b78a7cda9a45e34442873a2d54bd8fac479ff,201,37de1436b1bd5f948dc22686567b78a7cda9a45e34442873a2d54bd8fac479ff,0,2,central_cross_west_east,True,8.635807856515627e-13,2.556886386295658e-06,9.999999985098848,1,0.01061812199986889
0.0,2.842173060620692e-11,0.0,0.0,,1.1282437246660393,0.6646446708446498,0.9146446745699401,0,400,,,,,,,,,,,,,2.3841868568284222e-05,raw,0.05,398,37de1436b1bd5f948dc22686567b78a7cda9a45e34442873a2d54bd8fac479ff,9.999999985098874,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,37de1436b1bd5f948dc22686567b78a7cda9a45e34442873a2d54bd8fac479ff,201,37de1436b1bd5f948dc22686567b78a7cda9a45e34442873a2d54bd8fac479ff,0,3,central_cross_west_east,True,2.842173060620692e-11,2.3841868568284222e-05,9.999999985098874,1,0.006467477000114741
0.003,8.635807856515627e-13,3.7376774715929616e-08,3.055772664415383e-09,,1.1298195992971258,0.6646446708446498,0.9646446753149982,0,398,,,,,,,,,,,,,2.556886386295658e-06,simple,0.05,398,c0c660141882bd21dc91c8ef095e24747ee4bddb212c21f12bf2a926649a79c1,9.999999985098848,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,37de1436b1bd5f948dc22686567b78a7cda9a45e34442873a2d54bd8fac479ff,201,37de1436b1bd5f948dc22686567b78a7cda9a45e34442873a2d54bd8fac479ff,0,3,central_cross_west_east,True,8.635807856515627e-13,2.556886386295658e-06,9.999999985098848,1,0.008745660998101812
0.0,3.5654956008060806e-12,2.6897536084097644e-08,1.949956491147194e-09,,1.1300708555822767,0.6646446708446498,0.9646446753149982,0,398,,,,,,,,,,,,,5.123707236092588e-06,savitzky_golay,0.05,398,2e3305419a16a2619e7669b623182814afb694aafa5b51340b8ea784646428e7,9.999999985098855,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,37de1436b1bd5f948dc22686567b78a7cda9a45e34442873a2d54bd8fac479ff,201,37de1436b1bd5f948dc22686567b78a7cda9a45e34442873a2d54bd8fac479ff,0,3,central_cross_west_east,True,3.5654956008060806e-12,5.123707236092588e-06,9.999999985098855,1,0.008315089999086922
0.003,2.842173060620692e-11,0.0,0.0,,1.1282437246660393,0.6646446708446498,0.9146446745699401,0,400,,,,,,,,,,,,,2.3841868568284222e-05,constrained,0.05,398,37de1436b1bd5f948dc22686567b78a7cda9a45e34442873a2d54bd8fac479ff,9.999999985098874,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,37de1436b1bd5f948dc22686567b78a7cda9a45e34442873a2d54bd8fac479ff,201,37de1436b1bd5f948dc22686567b78a7cda9a45e34442873a2d54bd8fac479ff,0,3,central_cross_west_east,True,2.842173060620692e-11,2.3841868568284222e-05,9.999999985098874,1,0.008972016999905463
0.0,1.0729426444731802e-40,5.9306621639887464e-08,3.419829379836717e-08,,1.1229179432427832,0.6646446708446498,0.9146446745699401,0,201,,,,,,,,,,,,,1.0081263715489865e-20,pivot_g2_fixed,0.05,201,05478e9a5670183473e59d2ecd73cb6c971e74a9da875726411f510df3f04611,9.999999985098839,0,0,"[[-5, 5.96046e-08], [5, 0]]",398,0.075,5.93066e-08,0.15,0,2,0,1,[],0,0,0,none,0,0,0.0,200,0,201,0,0,{},0.000265663,fixed,0.05,,0,0,NavFnAStar,37de1436b1bd5f948dc22686567b78a7cda9a45e34442873a2d54bd8fac479ff,201,37de1436b1bd5f948dc22686567b78a7cda9a45e34442873a2d54bd8fac479ff,0,3,central_cross_west_east,True,1.0729426444731802e-40,1.0081263715489865e-20,9.999999985098839,1,0.005999531000270508
0.0,1.0729426444731802e-40,5.9306621639887464e-08,3.419829379836717e-08,,1.1229179432427832,0.6646446708446498,0.9146446745699401,0,201,,,,,,,,,,,,,1.0081263715489865e-20,pivot_g2,0.05,201,05478e9a5670183473e59d2ecd73cb6c971e74a9da875726411f510df3f04611,9.999999985098839,0,0,"[[-5, 5.96046e-08], [5, 0]]",398,0.075,5.93066e-08,0.15,0,2,0,1,[],0,0,0,none,0,0,0.0,200,0,201,0,0,{},0.000266428,adaptive,0.05,,0,0,NavFnAStar,37de1436b1bd5f948dc22686567b78a7cda9a45e34442873a2d54bd8fac479ff,201,37de1436b1bd5f948dc22686567b78a7cda9a45e34442873a2d54bd8fac479ff,0,3,central_cross_west_east,True,1.0729426444731802e-40,1.0081263715489865e-20,9.999999985098839,1,0.005616297999949893
0.003,8.635807856515627e-13,3.7376774715929616e-08,3.055772664415383e-09,,1.1298195992971258,0.6646446708446498,0.9646446753149982,0,398,1.07294e-40,0,0,True,2.84217e-11,0,True,simple_default,simple,8.63581e-13,0,True,2.556886386295658e-06,adaptive_hybrid_fixed,0.05,398,c0c660141882bd21dc91c8ef095e24747ee4bddb212c21f12bf2a926649a79c1,9.999999985098848,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,37de1436b1bd5f948dc22686567b78a7cda9a45e34442873a2d54bd8fac479ff,201,37de1436b1bd5f948dc22686567b78a7cda9a45e34442873a2d54bd8fac479ff,0,3,central_cross_west_east,True,8.635807856515627e-13,2.556886386295658e-06,9.999999985098848,1,0.01122975899852463
0.0,8.635807856515627e-13,3.7376774715929616e-08,3.055772664415383e-09,,1.1298195992971258,0.6646446708446498,0.9646446753149982,0,398,1.07294e-40,0,0,True,2.84217e-11,0,True,simple_default,simple,8.63581e-13,0,True,2.556886386295658e-06,adaptive_hybrid,0.05,398,c0c660141882bd21dc91c8ef095e24747ee4bddb212c21f12bf2a926649a79c1,9.999999985098848,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,37de1436b1bd5f948dc22686567b78a7cda9a45e34442873a2d54bd8fac479ff,201,37de1436b1bd5f948dc22686567b78a7cda9a45e34442873a2d54bd8fac479ff,0,3,central_cross_west_east,True,8.635807856515627e-13,2.556886386295658e-06,9.999999985098848,1,0.010290019999956712
0.0,2.8421523083995775e-11,0.0,0.0,,1.0909426513700655,0.6146446700995918,0.6646446708446498,0,435,,,,,,,,,,,,,2.3841779750469777e-05,raw,0.05,398,93e6f61b9142b0efdebdbc06deb3bdac7bd7af19669590b1a05aca3b18127557,10.000000163912809,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,93e6f61b9142b0efdebdbc06deb3bdac7bd7af19669590b1a05aca3b18127557,202,93e6f61b9142b0efdebdbc06deb3bdac7bd7af19669590b1a05aca3b18127557,0,1,central_cross_east_west,True,2.8421523083995775e-11,2.3841779750469777e-05,10.000000163912809,1,0.00655593599731219
0.0,8.728463154741837e-13,3.737673058107496e-08,3.048196161519e-09,,1.0919879076173873,0.6146446700995918,0.6646446708446498,0,433,,,,,,,,,,,,,2.55688179700746e-06,simple,0.05,398,67e12a138e6c6c8fd76aa6516bc201c8bc698c7190bf21dd5227ac7e2a55480d,10.000000163912782,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,93e6f61b9142b0efdebdbc06deb3bdac7bd7af19669590b1a05aca3b18127557,202,93e6f61b9142b0efdebdbc06deb3bdac7bd7af19669590b1a05aca3b18127557,0,1,central_cross_east_west,True,8.728463154741837e-13,2.55688179700746e-06,10.000000163912782,1,0.009605128998373402
0.003,3.6002111449138287e-12,2.6897496401697942e-08,1.9451210856230103e-09,,1.092334327945875,0.6146446700995918,0.6646446708446498,0,433,,,,,,,,,,,,,5.123695837530018e-06,savitzky_golay,0.05,398,9a1dff29829e761d0209fa0e47ba4ec842ab15d8acf3bc7d32b64d1599e70925,10.00000016391279,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,93e6f61b9142b0efdebdbc06deb3bdac7bd7af19669590b1a05aca3b18127557,202,93e6f61b9142b0efdebdbc06deb3bdac7bd7af19669590b1a05aca3b18127557,0,1,central_cross_east_west,True,3.6002111449138287e-12,5.123695837530018e-06,10.00000016391279,1,0.007900776003225474
0.003,2.8421523083995775e-11,0.0,0.0,,1.0909426513700653,0.6146446700995918,0.6646446708446498,0,435,,,,,,,,,,,,,2.3841779750469777e-05,constrained,0.05,398,93e6f61b9142b0efdebdbc06deb3bdac7bd7af19669590b1a05aca3b18127557,10.000000163912809,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,93e6f61b9142b0efdebdbc06deb3bdac7bd7af19669590b1a05aca3b18127557,202,93e6f61b9142b0efdebdbc06deb3bdac7bd7af19669590b1a05aca3b18127557,0,1,central_cross_east_west,True,2.8421523083995775e-11,2.3841779750469777e-05,10.000000163912809,1,0.009776773000339745
0.0,6.683809438174594e-41,5.930662057940244e-08,3.411353892226192e-08,,1.1233918063925625,0.6646446708446498,0.9146446745699401,0,202,,,,,,,,,,,,,5.790264287871102e-21,pivot_g2_fixed,0.05,202,4577a5a699960a46b81f878a24e961d21b94d46f2b1b68251b58410254ab77b0,10.000000163912773,0,0,"[[5, 5.96046e-08], [-5, 0]]",398,0.075,5.93066e-08,0.15,0,2,0,1,[],0,0,0,none,0,0,0.0,200,0,202,0,0,{},0.000274673,fixed,0.05,,0,0,NavFnAStar,93e6f61b9142b0efdebdbc06deb3bdac7bd7af19669590b1a05aca3b18127557,202,93e6f61b9142b0efdebdbc06deb3bdac7bd7af19669590b1a05aca3b18127557,0,1,central_cross_east_west,True,6.683809438174594e-41,5.790264287871102e-21,10.000000163912773,1,0.005778193000878673
0.0,6.683809438174594e-41,5.930662057940244e-08,3.411353892226192e-08,,1.1233918063925625,0.6646446708446498,0.9146446745699401,0,202,,,,,,,,,,,,,5.790264287871102e-21,pivot_g2,0.05,202,4577a5a699960a46b81f878a24e961d21b94d46f2b1b68251b58410254ab77b0,10.000000163912773,0,0,"[[5, 5.96046e-08], [-5, 0]]",398,0.075,5.93066e-08,0.15,0,2,0,1,[],0,0,0,none,0,0,0.0,200,0,202,0,0,{},0.000282681,adaptive,0.05,,0,0,NavFnAStar,93e6f61b9142b0efdebdbc06deb3bdac7bd7af19669590b1a05aca3b18127557,202,93e6f61b9142b0efdebdbc06deb3bdac7bd7af19669590b1a05aca3b18127557,0,1,central_cross_east_west,True,6.683809438174594e-41,5.790264287871102e-21,10.000000163912773,1,0.0061873470003774855
0.003,8.728463154741837e-13,3.737673058107496e-08,3.048196161519e-09,,1.0919879076173873,0.6146446700995918,0.6646446708446498,0,433,6.68381e-41,0,0,True,2.84215e-11,0,True,simple_default,simple,8.72846e-13,0,True,2.55688179700746e-06,adaptive_hybrid_fixed,0.05,398,67e12a138e6c6c8fd76aa6516bc201c8bc698c7190bf21dd5227ac7e2a55480d,10.000000163912782,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,93e6f61b9142b0efdebdbc06deb3bdac7bd7af19669590b1a05aca3b18127557,202,93e6f61b9142b0efdebdbc06deb3bdac7bd7af19669590b1a05aca3b18127557,0,1,central_cross_east_west,True,8.728463154741837e-13,2.55688179700746e-06,10.000000163912782,1,0.028940076001163106
0.0,8.728463154741837e-13,3.737673058107496e-08,3.048196161519e-09,,1.0919879076173873,0.6146446700995918,0.6646446708446498,0,433,6.68381e-41,0,0,True,2.84215e-11,0,True,simple_default,simple,8.72846e-13,0,True,2.55688179700746e-06,adaptive_hybrid,0.05,398,67e12a138e6c6c8fd76aa6516bc201c8bc698c7190bf21dd5227ac7e2a55480d,10.000000163912782,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,93e6f61b9142b0efdebdbc06deb3bdac7bd7af19669590b1a05aca3b18127557,202,93e6f61b9142b0efdebdbc06deb3bdac7bd7af19669590b1a05aca3b18127557,0,1,central_cross_east_west,True,8.728463154741837e-13,2.55688179700746e-06,10.000000163912782,1,0.009651544998632744
0.003,2.8421523083995775e-11,0.0,0.0,,1.0909426513700655,0.6146446700995918,0.6646446708446498,0,435,,,,,,,,,,,,,2.3841779750469777e-05,raw,0.05,398,93e6f61b9142b0efdebdbc06deb3bdac7bd7af19669590b1a05aca3b18127557,10.000000163912809,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,93e6f61b9142b0efdebdbc06deb3bdac7bd7af19669590b1a05aca3b18127557,202,93e6f61b9142b0efdebdbc06deb3bdac7bd7af19669590b1a05aca3b18127557,0,2,central_cross_east_west,True,2.8421523083995775e-11,2.3841779750469777e-05,10.000000163912809,1,0.006700816000375198
0.003,8.728463154741837e-13,3.737673058107496e-08,3.048196161519e-09,,1.0919879076173873,0.6146446700995918,0.6646446708446498,0,433,,,,,,,,,,,,,2.55688179700746e-06,simple,0.05,398,67e12a138e6c6c8fd76aa6516bc201c8bc698c7190bf21dd5227ac7e2a55480d,10.000000163912782,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,93e6f61b9142b0efdebdbc06deb3bdac7bd7af19669590b1a05aca3b18127557,202,93e6f61b9142b0efdebdbc06deb3bdac7bd7af19669590b1a05aca3b18127557,0,2,central_cross_east_west,True,8.728463154741837e-13,2.55688179700746e-06,10.000000163912782,1,0.009480157001235057
