algorithm_time_s,curvature_energy_1pm,deviation_max_m,deviation_rmse_m,error,footprint_clearance_mean_m,footprint_clearance_min_m,footprint_clearance_p05_m,footprint_collision_sample_count,footprint_pose_sample_count,hybrid_pivot_energy,hybrid_pivot_markers,hybrid_pivot_max_cost,hybrid_pivot_safe,hybrid_raw_energy,hybrid_raw_max_cost,hybrid_raw_safe,hybrid_reason,hybrid_selected,hybrid_simple_energy,hybrid_simple_max_cost,hybrid_simple_safe,max_abs_curvature_1pm,method,metric_spacing_m,native_point_count,output_path_sha256,path_length_m,pivot_compatible_edges,pivot_competitive_candidates,pivot_conditioned_polyline,pivot_conditioning_input_points,pivot_conditioning_max_deviation,pivot_conditioning_observed_deviation,pivot_conditioning_oscillation_deviation,pivot_conditioning_oscillation_shortcuts,pivot_conditioning_output_points,pivot_conditioning_safety_rejections,pivot_conditioning_shortcuts,pivot_corner_search,pivot_corners,pivot_dp_states,pivot_evaluations,pivot_fallback,pivot_g2_transitions,pivot_marker_count,pivot_max_angle_rad,pivot_max_footprint_cost,pivot_mean_transition_score,pivot_output_points,pivot_pass_through_corners,pivot_pivots,pivot_rejections,pivot_runtime_s,pivot_search_mode,pivot_segment_margin,pivot_selected_stitch_rejection,pivot_total_angle_rad,pivot_valid_candidates,planner,planner_output_path_sha256,point_count,raw_path_sha256,removed_duplicate_pose_count,repetition,scenario,success,translation_curvature_energy_1pm,translation_max_abs_curvature_1pm,translation_path_length_m,translation_segment_count,wall_time_s
0.0,1.4490376411407524e-12,1.714719832790479e-08,1.9344816824905744e-09,,0.46464466786441777,0.4646446678644176,0.4646446678644176,0,162,,,,,,,,,,,,,3.2663583837690027e-06,savitzky_golay,0.05,162,c310e573d50f871f3c9a61a0827f91ad8ded45d6db1daf4215352940164780ac,4.099999955296523,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,4d505cbb448cbf1e75663d8d06b1f28191b79eb7200382de8bdf9d9edec0190b,83,4d505cbb448cbf1e75663d8d06b1f28191b79eb7200382de8bdf9d9edec0190b,0,2,storage_aisle_a,True,1.4490376411407524e-12,3.2663583837690027e-06,4.099999955296523,1,0.004115913001442095
0.003,1.1550786274187194e-11,0.0,0.0,,0.45714466775265905,0.3646446663743015,0.3646446663743015,0,180,,,,,,,,,,,,,1.5199204872486556e-05,constrained,0.05,162,4d505cbb448cbf1e75663d8d06b1f28191b79eb7200382de8bdf9d9edec0190b,4.099999955296531,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,4d505cbb448cbf1e75663d8d06b1f28191b79eb7200382de8bdf9d9edec0190b,83,4d505cbb448cbf1e75663d8d06b1f28191b79eb7200382de8bdf9d9edec0190b,0,2,storage_aisle_a,True,1.1550786274187194e-11,1.5199204872486556e-05,4.099999955296531,1,0.0047971720014174934
0.0,3.1625415366732332e-27,3.753457189503706e-08,2.160603198873031e-08,,0.4646446678644178,0.4646446678644176,0.4646446678644176,0,83,,,,,,,,,,,,,1.776356839503667e-13,pivot_g2_fixed,0.05,83,df7a769cd2fe7778c10faee4cf3c0bcfaba59400b2daf415052e25a01e6689ec,4.099999955296516,0,0,"[[-3.45, -1], [-3.45, 3.1]]",162,0.075,3.75346e-08,0.15,0,2,0,1,[],0,0,0,none,0,0,0.0,200,0,83,0,0,{},0.00014645,fixed,0.05,,0,0,NavFnAStar,4d505cbb448cbf1e75663d8d06b1f28191b79eb7200382de8bdf9d9edec0190b,83,4d505cbb448cbf1e75663d8d06b1f28191b79eb7200382de8bdf9d9edec0190b,0,2,storage_aisle_a,True,3.1625415366732332e-27,1.776356839503667e-13,4.099999955296516,1,0.004527203000179725
0.0,3.1625415366732332e-27,3.753457189503706e-08,2.160603198873031e-08,,0.4646446678644178,0.4646446678644176,0.4646446678644176,0,83,,,,,,,,,,,,,1.776356839503667e-13,pivot_g2,0.05,83,df7a769cd2fe7778c10faee4cf3c0bcfaba59400b2daf415052e25a01e6689ec,4.099999955296516,0,0,"[[-3.45, -1], [-3.45, 3.1]]",162,0.075,3.75346e-08,0.15,0,2,0,1,[],0,0,0,none,0,0,0.0,200,0,83,0,0,{},0.000156905,adaptive,0.05,,0,0,NavFnAStar,4d505cbb448cbf1e75663d8d06b1f28191b79eb7200382de8bdf9d9edec0190b,83,4d505cbb448cbf1e75663d8d06b1f28191b79eb7200382de8bdf9d9edec0190b,0,2,storage_aisle_a,True,3.1625415366732332e-27,1.776356839503667e-13,4.099999955296516,1,0.005714516002626624
0.003,3.5096424505578354e-13,2.3827706474577326e-08,3.031520420495259e-09,,0.46464466786441777,0.4646446678644176,0.4646446678644176,0,162,3.16254e-27,0,0,True,1.15508e-11,83,True,simple_default,simple,3.50964e-13,0,True,1.6300127470004142e-06,adaptive_hybrid_fixed,0.05,162,48cf26c95a1b64e901b07ff1a2b1e8cf3f5251fdbd7af444bf4fda06bbce208a,4.0999999552965205,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,4d505cbb448cbf1e75663d8d06b1f28191b79eb7200382de8bdf9d9edec0190b,83,4d505cbb448cbf1e75663d8d06b1f28191b79eb7200382de8bdf9d9edec0190b,0,2,storage_aisle_a,True,3.5096424505578354e-13,1.6300127470004142e-06,4.0999999552965205,1,0.00453420499979984
0.003,3.5096424505578354e-13,2.3827706474577326e-08,3.031520420495259e-09,,0.46464466786441777,0.4646446678644176,0.4646446678644176,0,162,3.16254e-27,0,0,True,1.15508e-11,83,True,simple_default,simple,3.50964e-13,0,True,1.6300127470004142e-06,adaptive_hybrid,0.05,162,48cf26c95a1b64e901b07ff1a2b1e8cf3f5251fdbd7af444bf4fda06bbce208a,4.0999999552965205,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,4d505cbb448cbf1e75663d8d06b1f28191b79eb7200382de8bdf9d9edec0190b,83,4d505cbb448cbf1e75663d8d06b1f28191b79eb7200382de8bdf9d9edec0190b,0,2,storage_aisle_a,True,3.5096424505578354e-13,1.6300127470004142e-06,4.0999999552965205,1,0.005118082000990398
0.0,1.1550786274187194e-11,0.0,0.0,,0.4124347223350478,0.3646446663743015,0.3646446663743015,0,181,,,,,,,,,,,,,1.5199204872486556e-05,raw,0.05,162,4d505cbb448cbf1e75663d8d06b1f28191b79eb7200382de8bdf9d9edec0190b,4.099999955296531,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,4d505cbb448cbf1e75663d8d06b1f28191b79eb7200382de8bdf9d9edec0190b,83,4d505cbb448cbf1e75663d8d06b1f28191b79eb7200382de8bdf9d9edec0190b,0,3,storage_aisle_a,True,1.1550786274187194e-11,1.5199204872486556e-05,4.099999955296531,1,0.003699886001413688
0.0,3.5096424505578354e-13,2.3827706474577326e-08,3.031520420495259e-09,,0.46464466786441777,0.4646446678644176,0.4646446678644176,0,162,,,,,,,,,,,,,1.6300127470004142e-06,simple,0.05,162,48cf26c95a1b64e901b07ff1a2b1e8cf3f5251fdbd7af444bf4fda06bbce208a,4.0999999552965205,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,4d505cbb448cbf1e75663d8d06b1f28191b79eb7200382de8bdf9d9edec0190b,83,4d505cbb448cbf1e75663d8d06b1f28191b79eb7200382de8bdf9d9edec0190b,0,3,storage_aisle_a,True,3.5096424505578354e-13,1.6300127470004142e-06,4.0999999552965205,1,0.004225851000228431
0.0,1.4490376411407524e-12,1.714719832790479e-08,1.9344816824905744e-09,,0.46464466786441777,0.4646446678644176,0.4646446678644176,0,162,,,,,,,,,,,,,3.2663583837690027e-06,savitzky_golay,0.05,162,c310e573d50f871f3c9a61a0827f91ad8ded45d6db1daf4215352940164780ac,4.099999955296523,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,4d505cbb448cbf1e75663d8d06b1f28191b79eb7200382de8bdf9d9edec0190b,83,4d505cbb448cbf1e75663d8d06b1f28191b79eb7200382de8bdf9d9edec0190b,0,3,storage_aisle_a,True,1.4490376411407524e-12,3.2663583837690027e-06,4.099999955296523,1,0.004591249002260156
0.0,1.1550786274187194e-11,0.0,0.0,,0.45714466775265905,0.3646446663743015,0.3646446663743015,0,180,,,,,,,,,,,,,1.5199204872486556e-05,constrained,0.05,162,4d505cbb448cbf1e75663d8d06b1f28191b79eb7200382de8bdf9d9edec0190b,4.099999955296531,,,,,,,,,,,,,,,,,,0,0.0,,,,,,,,,,,0,,NavFnAStar,4d505cbb448cbf1e75663d8d06b1f28191b79eb7200382de8bdf9d9edec0190b,83,4d505cbb448cbf1e75663d8d06b1f28191b79eb7200382de8bdf9d9edec0190b,0,3,storage_aisle_a,True,1.1550786274187194e-11,1.5199204872486556e-05,4.099999955296531,1,0.004911191997962305
